DOWN,UP
ATCC64974_96270-T1,ATCC64974_16520-T1
ATCC64974_17880-T1,ATCC64974_105760-T1
ATCC64974_43050-T1,ATCC64974_23130-T1
ATCC64974_73820-T1,ATCC64974_52440-T1
ATCC64974_17870-T1,ATCC64974_70550-T1
ATCC64974_22900-T1,ATCC64974_13350-T1
ATCC64974_86870-T1,ATCC64974_50220-T1
ATCC64974_34610-T1,ATCC64974_27460-T1
ATCC64974_70860-T1,ATCC64974_30830-T1
ATCC64974_17890-T1,ATCC64974_100470-T1
ATCC64974_102730-T1,ATCC64974_21070-T1
ATCC64974_9850-T1,ATCC64974_15190-T1
ATCC64974_6380-T1,ATCC64974_98290-T1
ATCC64974_11040-T1,ATCC64974_36000-T1
ATCC64974_41210-T1,ATCC64974_3310-T1
ATCC64974_80040-T1,ATCC64974_62000-T1
ATCC64974_17840-T1,ATCC64974_14070-T1
ATCC64974_29500-T1,ATCC64974_14960-T1
ATCC64974_83460-T1,ATCC64974_19300-T1
ATCC64974_17810-T1,ATCC64974_25820-T1
ATCC64974_17860-T1,ATCC64974_57460-T1
ATCC64974_86860-T1,ATCC64974_14050-T1
ATCC64974_17850-T1,ATCC64974_18760-T1
ATCC64974_86850-T1,ATCC64974_105460-T1
ATCC64974_17910-T1,ATCC64974_90820-T1
ATCC64974_36710-T1,ATCC64974_83040-T1
ATCC64974_96240-T1,ATCC64974_36040-T1
ATCC64974_63280-T1,ATCC64974_38240-T1
ATCC64974_7460-T1,ATCC64974_41320-T1
ATCC64974_83510-T1,ATCC64974_2980-T1
ATCC64974_16420-T1,ATCC64974_75490-T1
ATCC64974_10280-T1,ATCC64974_91100-T1
ATCC64974_29490-T1,ATCC64974_31780-T1
ATCC64974_75440-T1,ATCC64974_74340-T1
ATCC64974_63700-T1,ATCC64974_62560-T1
ATCC64974_43100-T1,ATCC64974_1440-T1
ATCC64974_98940-T1,ATCC64974_52630-T1
ATCC64974_83600-T1,ATCC64974_34810-T1
ATCC64974_109750-T1,ATCC64974_50070-T1
ATCC64974_56240-T1,ATCC64974_56700-T1
ATCC64974_47190-T1,ATCC64974_15280-T1
ATCC64974_22000-T1,ATCC64974_48800-T1
ATCC64974_78710-T1,ATCC64974_99650-T1
ATCC64974_83530-T1,ATCC64974_65180-T1
ATCC64974_29880-T1,ATCC64974_78200-T1
ATCC64974_83480-T1,ATCC64974_101310-T1
ATCC64974_83540-T1,ATCC64974_28350-T1
ATCC64974_28950-T1,ATCC64974_65910-T1
ATCC64974_111440-T1,ATCC64974_111070-T1
ATCC64974_32550-T1,ATCC64974_109540-T1
ATCC64974_26410-T1,ATCC64974_16750-T1
ATCC64974_2750-T1,ATCC64974_57830-T1
ATCC64974_109730-T1,ATCC64974_61210-T1
ATCC64974_45730-T1,ATCC64974_30270-T1
ATCC64974_29470-T1,ATCC64974_95770-T1
ATCC64974_25300-T1,ATCC64974_108150-T1
ATCC64974_83470-T1,ATCC64974_53790-T1
ATCC64974_34180-T1,ATCC64974_25090-T1
ATCC64974_9520-T1,ATCC64974_28860-T1
ATCC64974_29480-T1,ATCC64974_94270-T1
ATCC64974_58800-T1,ATCC64974_26180-T1
ATCC64974_96260-T1,ATCC64974_50030-T1
ATCC64974_29560-T1,ATCC64974_103630-T1
ATCC64974_107400-T1,ATCC64974_25400-T1
ATCC64974_29610-T1,ATCC64974_73140-T1
ATCC64974_55910-T1,ATCC64974_76220-T1
ATCC64974_86910-T1,ATCC64974_33090-T1
ATCC64974_84500-T1,ATCC64974_7760-T1
ATCC64974_43110-T1,ATCC64974_103660-T1
ATCC64974_105230-T1,ATCC64974_95410-T1
ATCC64974_9510-T1,ATCC64974_8370-T1
ATCC64974_28940-T1,ATCC64974_33470-T1
ATCC64974_26110-T1,ATCC64974_49190-T1
ATCC64974_25850-T1,ATCC64974_95080-T1
ATCC64974_96280-T1,ATCC64974_75950-T1
ATCC64974_89900-T1,ATCC64974_35320-T1
ATCC64974_84510-T1,ATCC64974_10970-T1
ATCC64974_36480-T1,ATCC64974_28630-T1
ATCC64974_1230-T1,ATCC64974_6760-T1
ATCC64974_36130-T1,ATCC64974_83390-T1
ATCC64974_98870-T1,ATCC64974_10490-T1
ATCC64974_44160-T1,ATCC64974_710-T1
ATCC64974_10140-T1,ATCC64974_88740-T1
ATCC64974_42000-T1,ATCC64974_17180-T1
ATCC64974_21320-T1,ATCC64974_102000-T1
ATCC64974_88650-T1,ATCC64974_70340-T1
ATCC64974_88960-T1,ATCC64974_26960-T1
ATCC64974_59040-T1,ATCC64974_53660-T1
ATCC64974_38440-T1,ATCC64974_109070-T1
ATCC64974_96220-T1,ATCC64974_107280-T1
ATCC64974_78720-T1,ATCC64974_51200-T1
ATCC64974_83550-T1,ATCC64974_63020-T1
ATCC64974_10150-T1,ATCC64974_89280-T1
ATCC64974_9530-T1,ATCC64974_14170-T1
ATCC64974_75430-T1,ATCC64974_69010-T1
ATCC64974_83690-T1,ATCC64974_57500-T1
ATCC64974_13630-T1,ATCC64974_35330-T1
ATCC64974_89690-T1,ATCC64974_32480-T1
ATCC64974_70520-T1,ATCC64974_69440-T1
ATCC64974_78760-T1,ATCC64974_38270-T1
ATCC64974_9610-T1,ATCC64974_62600-T1
