goid,gid
GO:0031177,ATCC64974_26970-T1
GO:0003824,ATCC64974_26970-T1
GO:0016627,ATCC64974_26430-T1
GO:0055114,ATCC64974_26430-T1
GO:0050660,ATCC64974_26430-T1
GO:0000049,ATCC64974_27960-T1
GO:0046872,ATCC64974_23690-T1
GO:0005524,ATCC64974_23690-T1
GO:0016491,ATCC64974_29660-T1
GO:0031177,ATCC64974_29660-T1
GO:0016740,ATCC64974_29660-T1
GO:0003824,ATCC64974_29660-T1
GO:0055114,ATCC64974_29660-T1
GO:0008270,ATCC64974_29660-T1
GO:0016491,ATCC64974_21130-T1
GO:0046872,ATCC64974_25400-T1
GO:0045454,ATCC64974_21050-T1
GO:0004252,ATCC64974_27410-T1
GO:0016021,ATCC64974_27410-T1
GO:0006355,ATCC64974_24550-T1
GO:0005634,ATCC64974_24550-T1
GO:0008270,ATCC64974_24550-T1
GO:0003700,ATCC64974_24550-T1
GO:0003676,ATCC64974_24550-T1
GO:0020037,ATCC64974_25780-T1
GO:0004497,ATCC64974_25780-T1
GO:0055114,ATCC64974_25780-T1
GO:0005506,ATCC64974_25780-T1
GO:0016712,ATCC64974_25780-T1
GO:0016705,ATCC64974_25780-T1
GO:0009439,ATCC64974_27290-T1
GO:0008824,ATCC64974_27290-T1
GO:0003677,ATCC64974_27290-T1
GO:0005634,ATCC64974_20850-T1
GO:0003676,ATCC64974_20850-T1
GO:0005515,ATCC64974_20850-T1
GO:0016020,ATCC64974_21540-T1
GO:0046873,ATCC64974_21540-T1
GO:0055085,ATCC64974_21540-T1
GO:0030001,ATCC64974_21540-T1
GO:0006887,ATCC64974_20540-T1
GO:0000145,ATCC64974_20540-T1
GO:0050032,ATCC64974_24240-T1
GO:0050660,ATCC64974_29540-T1
GO:0055114,ATCC64974_29540-T1
GO:0016491,ATCC64974_29540-T1
GO:0071949,ATCC64974_29540-T1
GO:0008410,ATCC64974_23300-T1
GO:0046952,ATCC64974_23300-T1
GO:0032543,ATCC64974_20480-T1
GO:0003735,ATCC64974_20480-T1
GO:0050661,ATCC64974_25630-T1
GO:0004499,ATCC64974_25630-T1
GO:0050660,ATCC64974_25630-T1
GO:0055114,ATCC64974_25630-T1
GO:0006383,ATCC64974_27720-T1
GO:0003677,ATCC64974_27720-T1
GO:0003899,ATCC64974_27720-T1
GO:0005666,ATCC64974_27720-T1
GO:0003824,ATCC64974_26940-T1
GO:0004065,ATCC64974_26940-T1
GO:0018958,ATCC64974_26940-T1
GO:0008484,ATCC64974_26940-T1
GO:0005634,ATCC64974_24680-T1
GO:0008270,ATCC64974_24680-T1
GO:0003677,ATCC64974_24680-T1
GO:0006351,ATCC64974_24680-T1
GO:0008270,ATCC64974_27730-T1
GO:0006355,ATCC64974_27730-T1
GO:0000981,ATCC64974_27730-T1
GO:0005634,ATCC64974_27730-T1
GO:0016491,ATCC64974_28560-T1
GO:0005507,ATCC64974_28560-T1
GO:0055114,ATCC64974_28560-T1
GO:0004672,ATCC64974_23600-T1
GO:0005524,ATCC64974_23600-T1
GO:0006468,ATCC64974_23600-T1
GO:0016021,ATCC64974_25130-T1
GO:0055085,ATCC64974_25620-T1
GO:0005887,ATCC64974_25620-T1
GO:0046854,ATCC64974_23470-T1
GO:0008934,ATCC64974_23470-T1
GO:0046855,ATCC64974_23470-T1
GO:0016747,ATCC64974_29900-T1
GO:0003824,ATCC64974_29530-T1
GO:0050662,ATCC64974_29530-T1
GO:0016846,ATCC64974_23990-T1
GO:0071949,ATCC64974_24720-T1
GO:0016491,ATCC64974_28170-T1
GO:0008270,ATCC64974_24280-T1
GO:0016747,ATCC64974_25070-T1
GO:0003824,ATCC64974_25070-T1
GO:0003849,ATCC64974_23920-T1
GO:0009073,ATCC64974_23920-T1
GO:0003824,ATCC64974_23920-T1
GO:0009058,ATCC64974_23920-T1
GO:0005515,ATCC64974_23630-T1
GO:0004672,ATCC64974_23630-T1
GO:0005524,ATCC64974_23630-T1
GO:0006468,ATCC64974_23630-T1
GO:0003899,ATCC64974_28330-T1
GO:0003677,ATCC64974_28330-T1
GO:0006351,ATCC64974_28330-T1
GO:0043015,ATCC64974_28160-T1
GO:0008271,ATCC64974_29280-T1
GO:0016020,ATCC64974_29280-T1
GO:0055085,ATCC64974_29280-T1
GO:0008272,ATCC64974_29280-T1
GO:0016021,ATCC64974_29280-T1
GO:0015116,ATCC64974_29280-T1
GO:0089701,ATCC64974_22560-T1
GO:0000398,ATCC64974_22560-T1
GO:0003723,ATCC64974_22560-T1
GO:0046872,ATCC64974_22560-T1
GO:0003676,ATCC64974_22560-T1
GO:0016020,ATCC64974_26420-T1
GO:0055085,ATCC64974_26420-T1
GO:0022857,ATCC64974_26420-T1
GO:0005515,ATCC64974_25540-T1
GO:0015078,ATCC64974_28380-T1
GO:0033179,ATCC64974_28380-T1
GO:1902600,ATCC64974_28380-T1
GO:0033177,ATCC64974_28380-T1
GO:0006480,ATCC64974_27470-T1
GO:0008168,ATCC64974_27470-T1
GO:0006520,ATCC64974_30200-T1
GO:0016829,ATCC64974_30200-T1
GO:0003824,ATCC64974_30200-T1
GO:0055085,ATCC64974_26180-T1
GO:0005887,ATCC64974_26180-T1
GO:0006508,ATCC64974_23000-T1
GO:0004190,ATCC64974_23000-T1
GO:0005634,ATCC64974_24320-T1
GO:0042254,ATCC64974_24320-T1
GO:0005515,ATCC64974_27120-T1
GO:0016491,ATCC64974_21620-T1
GO:0055114,ATCC64974_21620-T1
GO:0003824,ATCC64974_28310-T1
GO:0051536,ATCC64974_28310-T1
GO:0016787,ATCC64974_29940-T1
GO:0016491,ATCC64974_24420-T1
GO:0005634,ATCC64974_26330-T1
GO:0008270,ATCC64974_26330-T1
GO:0003677,ATCC64974_26330-T1
GO:0006351,ATCC64974_26330-T1
