goid,annotation
GO:0031177,phosphopantetheine binding
GO:0003824,catalytic activity
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors"
GO:0055114,oxidation-reduction process
GO:0050660,flavin adenine dinucleotide binding
GO:0000049,tRNA binding
GO:0046872,metal ion binding
GO:0005524,ATP binding
GO:0016491,oxidoreductase activity
GO:0031177,phosphopantetheine binding
GO:0016740,transferase activity
GO:0003824,catalytic activity
GO:0055114,oxidation-reduction process
GO:0008270,zinc ion binding
GO:0016491,oxidoreductase activity
GO:0046872,metal ion binding
GO:0045454,cell redox homeostasis
GO:0004252,serine-type endopeptidase activity
GO:0016021,integral component of membrane
GO:0006355,"regulation of transcription, DNA-templated"
GO:0005634,nucleus
GO:0008270,zinc ion binding
GO:0003700,DNA-binding transcription factor activity
GO:0003676,nucleic acid binding
GO:0020037,heme binding
GO:0004497,monooxygenase activity
GO:0055114,oxidation-reduction process
GO:0005506,iron ion binding
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
GO:0009439,cyanate metabolic process
GO:0008824,cyanate hydratase activity
GO:0003677,DNA binding
GO:0005634,nucleus
GO:0003676,nucleic acid binding
GO:0005515,protein binding
GO:0016020,membrane
GO:0046873,metal ion transmembrane transporter activity
GO:0055085,transmembrane transport
GO:0030001,metal ion transport
GO:0006887,exocytosis
GO:0000145,exocyst
GO:0050032,L-rhamnonate dehydratase activity
GO:0050660,flavin adenine dinucleotide binding
GO:0055114,oxidation-reduction process
GO:0016491,oxidoreductase activity
GO:0071949,FAD binding
GO:0008410,CoA-transferase activity
GO:0046952,ketone body catabolic process
GO:0032543,mitochondrial translation
GO:0003735,structural constituent of ribosome
GO:0050661,NADP binding
GO:0004499,"N,N-dimethylaniline monooxygenase activity"
GO:0050660,flavin adenine dinucleotide binding
GO:0055114,oxidation-reduction process
GO:0006383,transcription by RNA polymerase III
GO:0003677,DNA binding
GO:0003899,DNA-directed 5'-3' RNA polymerase activity
GO:0005666,RNA polymerase III complex
GO:0003824,catalytic activity
GO:0004065,arylsulfatase activity
GO:0018958,phenol-containing compound metabolic process
GO:0008484,sulfuric ester hydrolase activity
GO:0005634,nucleus
GO:0008270,zinc ion binding
GO:0003677,DNA binding
GO:0006351,"transcription, DNA-templated"
GO:0008270,zinc ion binding
GO:0006355,"regulation of transcription, DNA-templated"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0005634,nucleus
GO:0016491,oxidoreductase activity
GO:0005507,copper ion binding
GO:0055114,oxidation-reduction process
GO:0004672,protein kinase activity
GO:0005524,ATP binding
GO:0006468,protein phosphorylation
GO:0016021,integral component of membrane
GO:0055085,transmembrane transport
GO:0005887,integral component of plasma membrane
GO:0046854,phosphatidylinositol phosphorylation
GO:0008934,inositol monophosphate 1-phosphatase activity
GO:0046855,inositol phosphate dephosphorylation
GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups"
GO:0003824,catalytic activity
GO:0050662,coenzyme binding
GO:0016846,carbon-sulfur lyase activity
GO:0071949,FAD binding
GO:0016491,oxidoreductase activity
GO:0008270,zinc ion binding
GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups"
GO:0003824,catalytic activity
GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity
GO:0009073,aromatic amino acid family biosynthetic process
GO:0003824,catalytic activity
GO:0009058,biosynthetic process
GO:0005515,protein binding
GO:0004672,protein kinase activity
GO:0005524,ATP binding
GO:0006468,protein phosphorylation
GO:0003899,DNA-directed 5'-3' RNA polymerase activity
GO:0003677,DNA binding
GO:0006351,"transcription, DNA-templated"
GO:0043015,gamma-tubulin binding
GO:0008271,secondary active sulfate transmembrane transporter activity
GO:0016020,membrane
GO:0055085,transmembrane transport
GO:0008272,sulfate transport
GO:0016021,integral component of membrane
GO:0015116,sulfate transmembrane transporter activity
GO:0089701,U2AF
GO:0000398,"mRNA splicing, via spliceosome"
GO:0003723,RNA binding
GO:0046872,metal ion binding
GO:0003676,nucleic acid binding
GO:0016020,membrane
GO:0055085,transmembrane transport
GO:0022857,transmembrane transporter activity
GO:0005515,protein binding
GO:0015078,proton transmembrane transporter activity
GO:0033179,"proton-transporting V-type ATPase, V0 domain"
GO:1902600,proton transmembrane transport
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain"
GO:0006480,N-terminal protein amino acid methylation
GO:0008168,methyltransferase activity
GO:0006520,cellular amino acid metabolic process
GO:0016829,lyase activity
GO:0003824,catalytic activity
GO:0055085,transmembrane transport
GO:0005887,integral component of plasma membrane
GO:0006508,proteolysis
GO:0004190,aspartic-type endopeptidase activity
GO:0005634,nucleus
GO:0042254,ribosome biogenesis
GO:0005515,protein binding
GO:0016491,oxidoreductase activity
GO:0055114,oxidation-reduction process
GO:0003824,catalytic activity
GO:0051536,iron-sulfur cluster binding
GO:0016787,hydrolase activity
GO:0016491,oxidoreductase activity
GO:0005634,nucleus
GO:0008270,zinc ion binding
GO:0003677,DNA binding
GO:0006351,"transcription, DNA-templated"
GO:0005975,carbohydrate metabolic process
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0005524,ATP binding
GO:0055085,transmembrane transport
GO:0016021,integral component of membrane
GO:0042626,ATPase-coupled transmembrane transporter activity
GO:0016887,ATPase activity
GO:0016020,membrane
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GO:0016787,hydrolase activity
GO:0005737,cytoplasm
GO:0051287,NAD binding
GO:0055114,oxidation-reduction process
GO:0005634,nucleus
GO:0008270,zinc ion binding
GO:0003677,DNA binding
GO:0006351,"transcription, DNA-templated"
GO:0005515,protein binding
GO:0055085,transmembrane transport
GO:0022857,transmembrane transporter activity
GO:0016020,membrane
GO:0046983,protein dimerization activity
GO:0000723,telomere maintenance
GO:0000784,"nuclear chromosome, telomeric region"
GO:0003677,DNA binding
GO:0043047,single-stranded telomeric DNA binding
